,awayscore,away,homescore,date,home,div,tourney
81,2,Fifth Element,11,7/16/2016,Prion,Mixed,Bourbon Bash 2016
82,11,Free Ride,10,7/16/2016,Hairy Otter,Mixed,Bourbon Bash 2016
83,11,North Coast,1,7/16/2016,I-79,Mixed,Bourbon Bash 2016
84,2,North Coast,11,7/16/2016,Prion,Mixed,Bourbon Bash 2016
85,5,Fifth Element,10,7/16/2016,Hairy Otter,Mixed,Bourbon Bash 2016
86,11,Free Ride,7,7/16/2016,I-79,Mixed,Bourbon Bash 2016
87,2,I-79,11,7/16/2016,Prion,Mixed,Bourbon Bash 2016
88,9,North Coast,10,7/16/2016,Hairy Otter,Mixed,Bourbon Bash 2016
89,11,Free Ride,3,7/16/2016,Fifth Element,Mixed,Bourbon Bash 2016
90,5,Free Ride,11,7/16/2016,Prion,Mixed,Bourbon Bash 2016
91,7,North Coast,8,7/16/2016,Fifth Element,Mixed,Bourbon Bash 2016
92,5,I-79,11,7/16/2016,Hairy Otter,Mixed,Bourbon Bash 2016
93,5,Hairy Otter,11,7/16/2016,Prion,Mixed,Bourbon Bash 2016
94,11,I-79,8,7/16/2016,Fifth Element,Mixed,Bourbon Bash 2016
95,4,North Coast,11,7/16/2016,Free Ride,Mixed,Bourbon Bash 2016
96,5,Moonshine,11,7/16/2016,Columbus Cocktails,Mixed,Bourbon Bash 2016
97,10,Goosebumps and Hucks,12,7/16/2016,Thunderpants the Magic Dragon,Mixed,Bourbon Bash 2016
99,7,Los  Heros,11,7/16/2016,Columbus Cocktails,Mixed,Bourbon Bash 2016
100,11,Moonshine,6,7/16/2016,Thunderpants the Magic Dragon,Mixed,Bourbon Bash 2016
103,8,Los  Heros,9,7/16/2016,Thunderpants the Magic Dragon,Mixed,Bourbon Bash 2016
104,4,Goosebumps and Hucks,11,7/16/2016,Moonshine,Mixed,Bourbon Bash 2016
105,10,Los  Heros,5,7/16/2016,Moonshine,Mixed,Bourbon Bash 2016
107,3,Goosebumps and Hucks,11,7/16/2016,Columbus Cocktails,Mixed,Bourbon Bash 2016
108,1,Thunderpants the Magic Dragon,11,7/16/2016,Columbus Cocktails,Mixed,Bourbon Bash 2016
110,11,Los  Heros,7,7/16/2016,Goosebumps and Hucks,Mixed,Bourbon Bash 2016
111,6,Fifth Element,15,7/17/2016,North Coast,Mixed,Bourbon Bash 2016
112,10,I-79,11,7/17/2016,North Coast,Mixed,Bourbon Bash 2016
114,15,I-79,12,7/17/2016,Thunderpants the Magic Dragon,Mixed,Bourbon Bash 2016
115,8,Goosebumps and Hucks,15,7/17/2016,Fifth Element,Mixed,Bourbon Bash 2016
117,5,Goosebumps and Hucks,13,7/17/2016,Thunderpants the Magic Dragon,Mixed,Bourbon Bash 2016
118,15,Columbus Cocktails,8,7/17/2016,Prion,Mixed,Bourbon Bash 2016
119,7,Hairy Otter,11,7/17/2016,Prion,Mixed,Bourbon Bash 2016
120,15,Columbus Cocktails,6,7/17/2016,Free Ride,Mixed,Bourbon Bash 2016
121,13,Hairy Otter,10,7/17/2016,Los  Heros,Mixed,Bourbon Bash 2016
