,awayscore,away,homescore,date,home,div,tourney
299,5,Pop,13,7/9/2016,Phoenix,Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
300,3,Backhanded,13,7/9/2016,Underground,Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
301,6,Underground,13,7/9/2016,Phoenix,Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
302,7,Backhanded,9,7/9/2016,Pop,Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
303,2,Backhanded,13,7/9/2016,Phoenix,Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
304,5,Pop,10,7/9/2016,Underground,Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
305,5,Colorado Small Batch,12,7/9/2016,Ozone,Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
306,11,Rival,6,7/9/2016,Green Means Go,Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
307,8,Green Means Go,10,7/9/2016,Ozone,Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
308,12,Rival,6,7/9/2016,Colorado Small Batch,Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
309,6,Rival,11,7/9/2016,Ozone,Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
310,5,Colorado Small Batch,9,7/9/2016,Green Means Go,Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
313,13,Nemesis,5,7/9/2016,Heist,Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
314,7,Hot Metal,13,7/9/2016,Schwa,Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
315,5,Maeve,13,7/9/2016,6ixers,Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
316,12,6ixers,7,7/9/2016,Schwa,Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
317,9,Maeve,12,7/9/2016,Hot Metal,Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
318,6,Maeve,13,7/9/2016,Schwa,Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
319,4,Hot Metal,13,7/9/2016,6ixers,Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
