Revolver,San Francisco
Sockeye,Seattle
Ring of Fire,Raleigh
Truck Stop,Washington
HIGH FIVE,Ohio
Ironside,Boston
Johnny Bravo,Denver
Dig,Boston
Florida United,Florida
PoNY,New York
Chicago Machine,Chicago
GOAT,Toronto
Doublewide,Austin
Sub Zero,Minneapolis
Patrol,Philadelphia
SoCal Condors,Calico
Guerrilla,Oakland
Furious George,Vancouver
Madison Club,Madison
Pittsburgh Temper,Pittsburgh
Medicine Men,Baltimore
Chain Lightning,Atlanta
Rhino,Portland
Inception,Denver
CLE Smokestack,Cleveland
Richmond Floodwall,Richmond
Freaks,Huntsville
Mad Men,Madison
Voodoo,Seattle
Dark Star,Eugene
Brickyard,Indianapolis
Garden State Ultimate,Princeton
Sprawl,Phoenix
Prairie Fire,Kansas City
Illusion,Iowa City
Cash Crop,Triangle
Turbine,Durham
Black Market,Lombard
Streetgang,San Diego
Ironmen,Birmingham
Lost Boys,South Carolina
Colt,Southington
MKE,Milwaukee
CITYWIDE Special,Philadelphia
Sundowners,Santa Barbara
Ham,Bellingham
Big Wrench,Somerville
Haymaker,Chicago
Beachfront Property,Chicago
Green River Swordfish,Davis
Blueprint,NYC
Pesterbug,Pawtucket
John Doe,Washington
Sawtooth,Boise
Singlewide,Austin
Kentucky Flying Circus,Louisville
Schweingeist,Cincinnati
CaSTLe,St. Louis
Bullet,Atlanta
Choice City Hops,Fort Collins
Four,Ann Arbor
Imperial,Saint Paul
Bruises,Boston
Republic,Los Angeles
Enigma,Dayton
Oakgrove Boys,ARLINGTON
Rip City Ultimate,Portland
Omen,Orlando
Wisconsin Hops,Stevens Point
Ghost Train,Seattle
South Shore Line,Chicago
Rougaroux,Baton Rouge/New Orleans
The Killjoys,Orem
Rush Hour,Atlanta
PowderHogs,Salt Lake City
Holy City Heathens,Charleston
Mango Tree,Ann Arbor
Plex,Dallas
Deathsquad,Needham
Scythe,Omaha
Chimney,Cleveland
The Roofing Co.,Indianapolis
BaNC,Charlotte
Cerberus,Athens
Shade,New York
Papa Bear,Houston
houSE,Kenosha
SURE,Seattle
DeMo,Des Moines
Red Tide,Portland
JAWN,Philadelphia
Dallas United: Desperados,Dallas
Black Lung,Lexington
Satellite,Normal
Memphis Belle,Memphis
Climax,Minneapolis
Thundersnow,Flagstaff
War Machine,Birmingham
Union,Seattle
Westchester Magma Bears,Yorktown Heights
Slag Dump,Pittsburgh
Dredge,Rhinebeck
UpRoar,Tampa Bay
Dreadnought,Fayetteville
Chattanooga Gentlemen's Club,Chattanooga
Xavier's School for Gifted Youngsters,Syracuse
ISO Atmo,Boulder
Syndicate,Colorado Springs
Auxiliary,Quad Cities
KC SmokeStack,Kansas City
Adelphos,Philadelphia
Supercell,Oklahoma City
Somerville BAG,Somerville
DTH,Houston
Breakers,Providence
Watchdogs,Bethesda
H.O.G. Ultimate,Macon
Midnight Meat Train,Grand Rapids
Cream City Crooks,Milwaukee
Low Five,Columbus
Connecticut Connvicts,Manchester
Dirty D,Greater Detroit
El Niño,Oakland Park
Blade,Nashville
Helots,Sparta
Mutiny,Burlington
Spring Creek Ascension,Tomball
Shrimp Boat,TALLAHASSEE
Garden Party,New Brunswick
Dallas United: Outlaws,Dallas
Deaf Fruit,Lubbock
AK Pipeline,Akron
Hippie Mafia,Milwaukee
Dallas United: Neato Banditos,Dallas
Rawhide,Tulsa
Black Market II,Lombard
Winc City Fog of War,Winchester
Hammerhead,Jacksonville
Bomb Squad,Bel Air
Club M - Magma,Montreal
East Rock Candy Mountain,New Haven
SA Spares,San Antonio
Tyranny,Tampa
Space Coast Ultimate,Melbourne
The Bucket Brigade,Hot Springs
