Revolver,San Francisco,CA
Sockeye,Seattle,WA
Ring of Fire,Raleigh,NC
Truck Stop,Washington,DC
HIGH FIVE,Ohio,MI
Ironside,Boston,MA
Johnny Bravo,Denver,CO
Dig,Boston,MA
Florida United,Florida,FL
PoNY,New York,NY
Chicago Machine,Chicago,IL
GOAT,Toronto,Ontario
Doublewide,Austin,TX
Sub Zero,Minneapolis,MN
Patrol,Philadelphia,PA
SoCal Condors,Calico,CA
Guerrilla,Oakland,CA
Furious George,Vancouver,BC
Madison Club,Madison,WI
Pittsburgh Temper,Pittsburgh,PA
Medicine Men,Baltimore,MD
Chain Lightning,Atlanta,GA
Rhino,Portland,OR
Inception,Denver,CO
CLE Smokestack,Cleveland,OH
Richmond Floodwall,Richmond,VA
Freaks,Huntsville,AL
Mad Men,Madison,WI
Voodoo,Seattle,WA
Dark Star,Eugene,OR
Brickyard,Indianapolis,IN
Garden State Ultimate,Princeton,NJ
Sprawl,Phoenix,AZ
Prairie Fire,Kansas City,KS
Illusion,Iowa City,IA
Cash Crop,Triangle,NC
Turbine,Durham,NC
Black Market,Lombard,IL
Streetgang,San Diego,CA
Ironmen,Birmingham,AL
Lost Boys,South Carolina,SC
Colt,Southington,CT
MKE,Milwaukee,WI
CITYWIDE Special,Philadelphia,PA
Sundowners,Santa Barbara,CA
Ham,Bellingham,WA
Big Wrench,Somerville,MA
Haymaker,Chicago,IL
Beachfront Property,Chicago,IL
Green River Swordfish,Davis,CA
Blueprint,NYC,NY
Pesterbug,Pawtucket,RI
John Doe,Washington,DC
Sawtooth,Boise,ID
Singlewide,Austin,TX
Kentucky Flying Circus,Louisville,KY
Schweingeist,Cincinnati,OH
CaSTLe,St. Louis,MO
Bullet,Atlanta,GA
Choice City Hops,Fort Collins,CO
Four,Ann Arbor,MI
Imperial,Saint Paul,MN
Bruises,Boston,MA
Republic,Los Angeles,CA
Enigma,Dayton,OH
Oakgrove Boys,ARLINGTON,VA
Rip City Ultimate,Portland,OR
Omen,Orlando,FL
Wisconsin Hops,Stevens Point,WI
Ghost Train,Seattle,WA
South Shore Line,Chicago,IL
Rougaroux,Baton Rouge/New Orleans,LA
The Killjoys,Orem,UT
Rush Hour,Atlanta,GA
PowderHogs,Salt Lake City,UT
Holy City Heathens,Charleston,SC
Mango Tree,Ann Arbor,MI
Plex,Dallas,TX
Deathsquad,Needham,MA
Scythe,Omaha,NE
Chimney,Cleveland,OH
The Roofing Co.,Indianapolis,IN
BaNC,Charlotte,NC
Cerberus,Athens,GA
Shade,New York,NY
Papa Bear,Houston,TX
houSE,Kenosha,WI
SURE,Seattle,WA
DeMo,Des Moines,IA
Red Tide,Portland,ME
JAWN,Philadelphia,PA
Dallas United: Desperados,Dallas,TX
Black Lung,Lexington,KY
Satellite,Normal,IL
Memphis Belle,Memphis,TN
Climax,Minneapolis,MN
Thundersnow,Flagstaff,AZ
War Machine,Birmingham,AL
Union,Seattle,WA
Westchester Magma Bears,Yorktown Heights,NY
Slag Dump,Pittsburgh,PA
Dredge,Rhinebeck,NY
UpRoar,Tampa Bay,FL
Dreadnought,Fayetteville,AR
Chattanooga Gentlemen's Club,Chattanooga,TN
Xavier's School for Gifted Youngsters,Syracuse,NY
ISO Atmo,Boulder,CO
Syndicate,Colorado Springs,CO
Auxiliary,Quad Cities,IA
KC SmokeStack,Kansas City,KS
Adelphos,Philadelphia,PA
Supercell,Oklahoma City,OK
Somerville BAG,Somerville,MA
DTH,Houston,TX
Breakers,Providence,RI
Watchdogs,Bethesda,MD
H.O.G. Ultimate,Macon,GA
Midnight Meat Train,Grand Rapids,MI
Cream City Crooks,Milwaukee,WI
Low Five,Columbus,OH
Connecticut Connvicts,Manchester,CT
Dirty D,Greater Detroit,MI
El Niño,Oakland Park,FL
Blade,Nashville,TN
Helots,Sparta,NJ
Mutiny,Burlington,VT
Spring Creek Ascension,Tomball,TX
Shrimp Boat,TALLAHASSEE,FL
Garden Party,New Brunswick,NJ
Dallas United: Outlaws,Dallas,TX
Deaf Fruit,Lubbock,TX
AK Pipeline,Akron,OH
Hippie Mafia,Milwaukee,WI
Dallas United: Neato Banditos,Dallas,TX
Rawhide,Tulsa,OK
Black Market II,Lombard,IL
Winc City Fog of War,Winchester,VA
Hammerhead,Jacksonville,FL
Bomb Squad,Bel Air,MD
Club M - Magma,Montreal,Québec
East Rock Candy Mountain,New Haven,CT
SA Spares,San Antonio,TX
Tyranny,Tampa,FL
Space Coast Ultimate,Melbourne,FL
The Bucket Brigade,Hot Springs,AR
