awayscore,away,homescore,date,home,div,tourney
0,Shotgun (9),0,6/4/2016,Surfside  (7),Men,Space City Classic 2016 (Cancelled)
0,Papa Bear (6),0,6/4/2016,SCU Y (4),Men,Space City Classic 2016 (Cancelled)
0,Papa Bear (6),0,6/4/2016,Riverside Ultimate (1),Men,Space City Classic 2016 (Cancelled)
0,Surfside  (7),0,6/4/2016,SCU Y (4),Men,Space City Classic 2016 (Cancelled)
0,Shotgun (9),0,6/4/2016,Riverside Ultimate (1),Men,Space City Classic 2016 (Cancelled)
0,Surfside  (7),0,6/4/2016,Papa Bear (6),Men,Space City Classic 2016 (Cancelled)
0,Surfside  (7),0,6/4/2016,Riverside Ultimate (1),Men,Space City Classic 2016 (Cancelled)
0,Shotgun (9),0,6/4/2016,SCU Y (4),Men,Space City Classic 2016 (Cancelled)
0,SCU Y (4),0,6/5/2016,Riverside Ultimate (1),Men,Space City Classic 2016 (Cancelled)
0,Shotgun (9),0,6/5/2016,Papa Bear (6),Men,Space City Classic 2016 (Cancelled)
0,Goon Squad (5),0,6/4/2016,Premium (2),Men,Space City Classic 2016 (Cancelled)
0,Deaf Fruit  (10),0,6/4/2016,SCU X (3),Men,Space City Classic 2016 (Cancelled)
0,Riverside Messengers (11),0,6/4/2016,AndyGator (8),Men,Space City Classic 2016 (Cancelled)
0,Deaf Fruit  (10),0,6/4/2016,Premium (2),Men,Space City Classic 2016 (Cancelled)
0,Riverside Messengers (11),0,6/4/2016,Goon Squad (5),Men,Space City Classic 2016 (Cancelled)
0,AndyGator (8),0,6/4/2016,SCU X (3),Men,Space City Classic 2016 (Cancelled)
0,Deaf Fruit  (10),0,6/4/2016,AndyGator (8),Men,Space City Classic 2016 (Cancelled)
0,Goon Squad (5),0,6/4/2016,SCU X (3),Men,Space City Classic 2016 (Cancelled)
0,Riverside Messengers (11),0,6/4/2016,Premium (2),Men,Space City Classic 2016 (Cancelled)
0,AndyGator (8),0,6/4/2016,Premium (2),Men,Space City Classic 2016 (Cancelled)
0,Riverside Messengers (11),0,6/4/2016,SCU X (3),Men,Space City Classic 2016 (Cancelled)
0,Deaf Fruit  (10),0,6/4/2016,Goon Squad (5),Men,Space City Classic 2016 (Cancelled)
0,SCU X (3),0,6/5/2016,Premium (2),Men,Space City Classic 2016 (Cancelled)
0,AndyGator (8),0,6/5/2016,Goon Squad (5),Men,Space City Classic 2016 (Cancelled)
0,Riverside Messengers (11),0,6/5/2016,Deaf Fruit  (10),Men,Space City Classic 2016 (Cancelled)
14,Phoenix Uprising (3),11,7/16/2016,Venom (1),Women,Ski Town Classic 2016
5,Name in the Wind (4),15,7/16/2016,Elevate (2),Women,Ski Town Classic 2016
7,Name in the Wind (4),14,7/16/2016,Venom (1),Women,Ski Town Classic 2016
11,Phoenix Uprising (3),12,7/16/2016,Elevate (2),Women,Ski Town Classic 2016
11,Elevate (2),10,7/16/2016,Venom (1),Women,Ski Town Classic 2016
6,Name in the Wind (4),14,7/16/2016,Phoenix Uprising (3),Women,Ski Town Classic 2016
9,Venom (1),12,7/17/2016,Elevate (2),Women,Ski Town Classic 2016
2,Name in the Wind (4),11,7/17/2016,Elevate (2),Women,Ski Town Classic 2016
3,Phoenix Uprising (3),9,7/17/2016,Elevate (2),Women,Ski Town Classic 2016
5,Name in the Wind (4),15,7/17/2016,Phoenix Uprising (3),Women,Ski Town Classic 2016
5,Venom (1),11,7/17/2016,Phoenix Uprising (3),Women,Ski Town Classic 2016
8,Venom (1),4,7/17/2016,Name in the Wind (4),Women,Ski Town Classic 2016
13,Syndicate (13),9,7/16/2016,Madd Dogg (12),Men,Ski Town Classic 2016
13,Killjoys (7),9,7/16/2016,Choice City Hops (6),Men,Ski Town Classic 2016
13,Killjoys (7),9,7/16/2016,Voodoo (1),Men,Ski Town Classic 2016
10,Madd Dogg (12),13,7/16/2016,Choice City Hops (6),Men,Ski Town Classic 2016
4,Syndicate (13),13,7/16/2016,Voodoo (1),Men,Ski Town Classic 2016
5,Madd Dogg (12),13,7/16/2016,Killjoys (7),Men,Ski Town Classic 2016
7,Madd Dogg (12),13,7/16/2016,Voodoo (1),Men,Ski Town Classic 2016
13,Syndicate (13),12,7/16/2016,Choice City Hops (6),Men,Ski Town Classic 2016
9,Choice City Hops (6),13,7/16/2016,Voodoo (1),Men,Ski Town Classic 2016
2,Syndicate (13),13,7/16/2016,Killjoys (7),Men,Ski Town Classic 2016
4,Serengeti (14),13,7/16/2016,Phalanx (11),Men,Ski Town Classic 2016
13,Whiskeyjacks (8),12,7/16/2016,Ghost Train (5),Men,Ski Town Classic 2016
8,Whiskeyjacks (8),13,7/16/2016,PowderHogs (2),Men,Ski Town Classic 2016
4,Phalanx (11),13,7/16/2016,Ghost Train (5),Men,Ski Town Classic 2016
1,Serengeti (14),13,7/16/2016,PowderHogs (2),Men,Ski Town Classic 2016
5,Phalanx (11),13,7/16/2016,Whiskeyjacks (8),Men,Ski Town Classic 2016
2,Phalanx (11),13,7/16/2016,PowderHogs (2),Men,Ski Town Classic 2016
